"IID" "fromBP" "toBP"
"I4246_published" 4264 4154
"I7186" 5776 5650
"I7187" 6118 5970
"I7188" 5634 5586
"I7189" 5566 5486
"I7191" 5696 5618
"I7192" 5597 5507
"I7193" 5648 5594
"I7194" 5564 5490
"I7207" 4425 4315
"I7208" 4379 4269
"I7209" 4337 4201
"I7278" 4382 4284
"I7043" 4061 3961
"I7282" 4344 4056
"I7283" 4344 4056
"I7289" 4351 4227
"I7210" 4125 4017
"I7212" 4313 4181
"I7214" 4344 4056
"I6695" 4734 4416
"I6696" 4734 4416
"I7042" 6146 6026
"I7044" 4618 3982
"I7045" 4289 4173
"I7195" 4539 3961
"I7196" 4539 3961
"I7197" 6473 6403
"I7198" 4074 3978
"I7199" 4086 3992
"I7200" 4539 3961
"I7201" 4539 3961
"I7205" 4344 4056
"I7211" 4227 4139
"I7213" 4289 4173
"I7249" 4061 3961
"I7251" 4344 4056
"I7269" 4344 4056
"I7272" 5491 5343
"I7275" 4344 4056
"I7276" 4344 4056
"I7280" 4344 4056
"I7281" 4237 4151
"I7286" 4275 4167
"I7290" 4344 4056
"CabecoArruda122A.SG" 5194 4906
"CovaMoura364.SG" 4344 4056
"CovaMoura9B.SG" 4344 4056
"DolmenAnsiao96B.SG" 5565 5335
"LugarCanto41.SG" 6239 5661
"LugarCanto42.SG" 6239 5661
"LugarCanto44.SG" 6239 5661
"MonteGato104.SG" 3591 3501
"TV32032extra.SG" 3665 3435
"TV3831.SG" 3665 3435
"Loschbour_snpAD.DG" 8089 7961
"Loschbour_published.DG" 8089 7961
"Stuttgart_published.DG" 7238 7098
"Bar31.SG" 8326 8218
"Bar8.SG" 8125 8003
"Klei10.SG" 6378 6318
"Pal7.SG" 6379 6317
"Rev5.SG" 8369 8263
"F38.SG" 2868 2798
"I0071" 4202 3798
"I2427" 6365 6287
"I2431" 6674 6574
"I1300" 4723 4377
"I0843" 7917 7799
"I0585" 7876 7746
"I0112" 4304 4144
"I0108" 4479 4319
"I0059" 4237 4121
"I0061" 8768 8132
"I0117" 4150 4034
"I0164" 3948 3864
"I0114" 4060 3944
"I0026" 7313 6937
"I0012" 7632 7564
"I0014" 7754 7618
"I0017" 7652 7596
"I0449" 6844 6556
"I1381" 4365 4135
"I1178" 6239 5661
"I1500" 7147 6969
"I1101" 8387 8213
"I1097" 8334 8230
"I0744" 8318 8222
"I1096" 8387 8213
"I1098" 8333 8231
"I0708" 8146 8056
"I0745" 8301 8185
"I0746" 7980 7876
"I0707" 8146 8046
"I0709" 8139 8031
"I0736" 8387 8213
"I1634" 6236 6076
"I1632" 6142 6010
"I1631" 6165 6033
"I1635" 4522 4430
"I1633" 4513 4417
"I1658" 5242 5082
"I1656" 3429 3365
"I0634" 6616 6504
"I1131" 6530 6434
"I1499" 7135 7019
"I1407" 6120 5630
"I1502" 4077 3975
"I1497" 5119 4919
"I1495" 6406 6328
"I1498" 7156 7032
"I1705" 4087 3971
"I1706" 4400 4290
"I1507" 7698 7624
"I1504" 2901 2815
"I1506" 7221 7071
"I1496" 7112 6968
"I0676" 7856 7728
"I1505" 7121 6993
"I1736" 8164 8056
"I1734" 8187 8013
"I1738" 7397 7299
"I1732" 7268 7168
"I1730" 4413 4299
"BR2.SG" 2901 2815
"CO1.SG" 5119 4919
